,Episode,Mean,Stddev
1070,1070,36.5,0
1071,1071,26.90943,19.18115
1072,1072,26.81809,19.36383
1073,1073,36.5,0
1074,1074,36.5,0
1075,1075,36.5,0
1076,1076,36.5,0
1077,1077,36.5,0
1078,1078,36.5,0
1079,1079,36.5,0
1080,1080,36.5,0
1081,1081,36.5,0
1082,1082,36.5,0
1083,1083,25.44994,22.10013
1084,1084,36.5,0
1085,1085,36.5,0
1086,1086,36.5,0
1087,1087,36.5,0
1088,1088,36.5,0
1089,1089,36.5,0
1090,1090,36.5,0
1091,1091,36.5,0
1092,1092,13.20192,28.92113
1093,1093,36.5,0
1094,1094,22.4,28.2
1095,1095,23.43557,26.12885
1096,1096,36.5,0
1097,1097,26.11807,20.76387
1098,1098,36.5,0
1099,1099,22.62699,27.74603
1100,1100,36.5,0
1101,1101,36.5,0
1102,1102,36.5,0
1103,1103,36.5,0
1104,1104,36.5,0
1105,1105,36.5,0
1106,1106,23.40379,26.19242
1107,1107,36.5,0
1108,1108,36.5,0
1109,1109,36.5,0
1110,1110,36.5,0
1111,1111,36.5,0
1112,1112,36.5,0
1113,1113,36.5,0
1114,1114,36.5,0
1115,1115,36.5,0
1116,1116,36.5,0
1117,1117,36.5,0
1118,1118,36.5,0
1119,1119,36.5,0
1120,1120,36.5,0
1121,1121,36.5,0
1122,1122,36.5,0
1123,1123,36.5,0
1124,1124,20.06819,32.86361
1125,1125,36.5,0
1126,1126,36.5,0
1127,1127,26.09684,20.80631
1128,1128,36.5,0
1129,1129,36.5,0
1130,1130,23.84154,25.31693
1131,1131,36.5,0
1132,1132,36.5,0
1133,1133,36.5,0
1134,1134,36.5,0
1135,1135,23.44413,26.11174
1136,1136,36.5,0
1137,1137,36.5,0
1138,1138,23.62997,25.74005
1139,1139,36.5,0
1140,1140,36.5,0
1141,1141,36.5,0
1142,1142,26.84333,19.31334
1143,1143,36.5,0
1144,1144,36.5,0
1145,1145,36.5,0
1146,1146,36.5,0
1147,1147,9.84619,32.6499
1148,1148,36.5,0
1149,1149,36.5,0
1150,1150,36.5,0
1151,1151,36.5,0
1152,1152,36.5,0
1153,1153,36.5,0
1154,1154,36.5,0
1155,1155,36.5,0
1156,1156,36.5,0
1157,1157,36.5,0
1158,1158,26.88585,19.22831
1159,1159,16.61906,24.35317
1160,1160,36.5,0
1161,1161,16.68065,39.63869
1162,1162,36.5,0
1163,1163,16.21453,24.88546
1164,1164,36.5,0
1165,1165,25.55281,21.89439
1166,1166,26.20294,20.59412
1167,1167,36.5,0
1168,1168,36.5,0
1169,1169,36.5,0
1170,1170,36.5,0
1171,1171,36.5,0
